ts,open,high,low,close,volume,trades
2026-07-15 00:00:00+00:00,6.0,8.64,6.0,7.4207,6451395.9,70400
2026-07-16 00:00:00+00:00,7.423,7.47,6.91,6.991,1798181.8,29394
2026-07-17 00:00:00+00:00,6.9912,7.2991,6.72,6.9515,1624741.1,45400
2026-07-18 00:00:00+00:00,6.9704,7.2776,6.91,7.2242,601625.7,27680
2026-07-19 00:00:00+00:00,7.2357,7.2587,6.62,6.9539,731376.2,29641
2026-07-20 00:00:00+00:00,6.9627,7.134,6.45,6.56,1114899.0,34003
2026-07-21 00:00:00+00:00,6.5601,6.888,6.4857,6.6002,1453392.1,42610
2026-07-22 00:00:00+00:00,6.6002,6.8957,6.35,6.35,1351291.5,40477
2026-07-23 00:00:00+00:00,6.3582,6.7306,6.31,6.371,1711882.8,44198
2026-07-24 00:00:00+00:00,6.3633,6.578,6.0624,6.1814,2281134.6,48519
2026-07-25 00:00:00+00:00,6.1728,6.5,5.9868,6.1473,3036113.5,55080
2026-07-26 00:00:00+00:00,6.1537,6.63,6.0796,6.532,3866447.3,170543
2026-07-27 00:00:00+00:00,6.532,7.75,5.964,6.4829,35317328.2,427402
2026-07-28 00:00:00+00:00,6.4827,7.0,6.3,6.68,11440121.0,156401
2026-07-29 00:00:00+00:00,6.6793,7.3,6.5,7.152,9361675.2,194347
2026-07-30 00:00:00+00:00,7.1544,8.3694,6.9688,8.1048,10125266.3,145168
2026-07-31 00:00:00+00:00,8.0965,8.3934,7.3801,7.48,8212301.5,278712
2026-08-01 00:00:00+00:00,7.4791,7.5368,7.312,7.3167,514307.9,35336
2026-08-02 00:00:00+00:00,7.3168,7.87,7.3158,7.6437,1032983.7,47721
2026-08-03 00:00:00+00:00,7.6443,8.2,7.3301,8.1957,4594975.6,93573
2026-08-04 00:00:00+00:00,8.198,8.2,7.71,7.9739,3369060.4,115472
2026-08-05 00:00:00+00:00,7.9713,8.05,7.6242,7.676,3441656.1,105136
2026-08-06 00:00:00+00:00,7.6778,7.713,7.259,7.2864,2023464.0,85054
2026-08-07 00:00:00+00:00,7.288,7.4899,7.1001,7.1055,2386243.1,82229
2026-08-08 00:00:00+00:00,7.1056,7.3398,7.1001,7.297,463862.9,37130
2026-08-09 00:00:00+00:00,7.2929,7.3617,7.2371,7.3195,537895.4,48310
2026-08-10 00:00:00+00:00,7.3195,7.59,7.1541,7.266,1934668.1,81143
2026-08-11 00:00:00+00:00,7.2607,7.4852,7.1635,7.2666,1967898.6,38270
2026-08-12 00:00:00+00:00,7.2672,8.0388,7.251,7.9947,4339090.2,60199
2026-08-13 00:00:00+00:00,7.9941,8.1722,7.5604,7.9335,3554720.7,71386
2026-08-14 00:00:00+00:00,7.942,8.09,7.7953,7.9503,2160555.4,107269
2026-08-15 00:00:00+00:00,7.95,8.0886,7.9067,8.063,246934.2,32764
2026-08-16 00:00:00+00:00,8.0666,8.0761,7.9,7.9436,284898.0,42239
2026-08-17 00:00:00+00:00,7.9434,9.1654,7.94,8.9535,4717700.0,194607
2026-08-18 00:00:00+00:00,8.9493,9.055,8.198,8.3286,4359279.1,175742
2026-08-19 00:00:00+00:00,8.3283,8.5956,8.2053,8.484,3079235.7,170696
2026-08-20 00:00:00+00:00,8.484,8.5957,8.1275,8.1919,2220298.5,113687
2026-08-21 00:00:00+00:00,8.1908,8.6494,8.1901,8.5253,1642674.1,83135
2026-08-22 00:00:00+00:00,8.5226,8.6148,8.5193,8.5721,121594.4,18784
2026-08-23 00:00:00+00:00,8.5684,8.65,8.5503,8.65,69323.0,14697
2026-08-24 00:00:00+00:00,8.6484,8.6959,8.1366,8.3375,1805879.0,98199
